word,phoneme,word_syllable_sequence,phoneme_syllable_sequence
bunduk,bunduʔ,bun.duk,bun.duʔ
bundung,bunduŋ,bun.dung,bun.duŋ
bungaan,buŋaʔan,bu.nga.an,bu.ŋa.ʔan
bunga,buŋa,bu.nga,bu.ŋa
bungalo,buŋalo,bu.nga.lo,bu.ŋa.lo
bungaran,buŋaran,bu.ngar.an,bu.ŋar.an
bung,buŋ,bung,buŋ
bungkalan,buŋkalan,bung.kal.an,buŋ.kal.an
bungkal,buŋkal,bung.kal,buŋ.kal
bungkam,buŋkam,bung.kam,buŋ.kam
bungkang,buŋkaŋ,bung.kang,buŋ.kaŋ
bungkas,buŋkas,bung.kas,buŋ.kas
bungkem,buŋkəm,bung.kem,buŋ.kəm
bungker,buŋkər,bung.ker,buŋ.kər
bungkil,buŋkil,bung.kil,buŋ.kil
bungking,buŋkiŋ,bung.king,buŋ.kiŋ
bungkuk,buŋkuʔ,bung.kuk,buŋ.kuʔ
bungkul,buŋkul,bung.kul,buŋ.kul
bungkusan,buŋkusan,bung.kus.an,buŋ.kus.an
bungkus,buŋkus,bung.kus,buŋ.kus
bunglai,buŋlai,bung.lai,buŋ.lai
bunglon,buŋlon,bung.lon,buŋ.lon
bungsil,buŋsil,bung.sil,buŋ.sil
bungsu,buŋsu,bung.su,buŋ.su
bungur,buŋur,bu.ngur,bu.ŋur
bunian,bunian,bu.ni.an,bu.ni.an
buni,buni,bu.ni,bu.ni
bunjai,bundʒai,bun.jai,bun.dʒai
buntak,buntaʔ,bun.tak,bun.taʔ
buntal,buntal,bun.tal,bun.tal
buntang,buntaŋ,bun.tang,bun.taŋ
buntar,buntar,bun.tar,bun.tar
buntat,buntat,bun.tat,bun.tat
buntek,buntəʔ,bun.tek,bun.təʔ
buntel,buntəl,bun.tel,bun.təl
buntet,buntət,bun.tet,bun.tət
buntilan,buntilan,bun.til.an,bun.til.an
buntil,buntil,bun.til,bun.til
buntingan,buntiŋan,bun.ting.an,bun.tiŋ.an
bunting,buntiŋ,bun.ting,bun.tiŋ
buntu,buntu,bun.tu,bun.tu
buntung,buntuŋ,bun.tung,bun.tuŋ
buntut,buntut,bun.tut,bun.tut
bunuh-an,bunuhan,bu.nuh-.an,bu.nuh.an
bunuhan,bunuhan,bu.nuh.an,bu.nuh.an
bunuh,bunuh,bu.nuh,bu.nuh
bunut,bunut,bu.nut,bu.nut
bunyi,buɲi,bu.nyi,bu.ɲi
bunyikan,buɲikan,bu.nyi.kan,bu.ɲi.kan
bunyinya,buɲiɲa,bu.nyi.nya,bu.ɲi.ɲa
bupati,bupati,bu.pa.ti,bu.pa.ti
bura,bura,bu.ra,bu.ra
burai,burai,bu.rai,bu.rai
burakah,burakah,bu.ra.kah,bu.ra.kah
burak,buraʔ,bu.rak,bu.raʔ
buraksa,buraʔsa,bu.rak.sa,bu.raʔ.sa
buram,buram,bu.ram,bu.ram
buras,buras,bu.ras,bu.ras
burat,burat,bu.rat,bu.rat
burayak,burajaʔ,bu.ra.yak,bu.ra.jaʔ
bur,bur,bur,bur
burdah,burdah,bur.dah,bur.dah
bureng,burəŋ,bu.reng,bu.rəŋ
buret,buret,bu.ret,bu.ret
burhan,burhan,bur.han,bur.han
burik,buriʔ,bu.rik,bu.riʔ
buritan,buritan,bu.rit.an,bu.rit.an
burit,burit,bu.rit,bu.rit
burkak,burkaʔ,bur.kak,bur.kaʔ
buronan,buronan,bu.ron.an,bu.ron.an
buron,buron,bu.ron,bu.ron
bursa,bursa,bur.sa,bur.sa
buruan,buruan,bu.ru.an,bu.ru.an
buru,buru,bu.ru,bu.ru
buruh,buruh,bu.ruh,bu.ruh
buruj,burudʒ,bu.ruj,bu.rudʒ
buruk,buruʔ,bu.ruk,bu.ruʔ
buruknya,buruʔɲa,bu.ruk.nya,bu.ruʔ.ɲa
burung,buruŋ,bu.rung,bu.ruŋ
burut,burut,bu.rut,bu.rut
busa,busa,bu.sa,bu.sa
busai,busai,bu.sai,bu.sai
busana,busana,bu.sa.na,bu.sa.na
bus,bus,bus,bus
buset,buset,bu.set,bu.set
bushido,bushido,bus.hi.do,bu.sji.do
busi,busi,bu.si,bu.si
busik,busiʔ,bu.sik,bu.siʔ
bustan,bustan,bus.tan,bus.tan
buster,bustər,bus.ter,bus.tər
busuk,busuʔ,bu.suk,bu.suʔ
busung,busuŋ,bu.sung,bu.suŋ
busur,busur,bu.sur,bu.sur
busut,busut,bu.sut,bu.sut
buta,buta,bu.ta,bu.ta
butala,butala,bu.ta.la,bu.ta.la
butana,butana,bu.ta.na,bu.ta.na
butang,butaŋ,bu.tang,bu.taŋ
butarepan,butarəpan,bu.ta.re.pan,bu.ta.rə.pan
butbut,butbut,but.but,but.but
butek,buteʔ,bu.tek,bu.teʔ
butek,butəʔ,bu.tek,bu.təʔ
butik,butiʔ,bu.tik,bu.tiʔ
butiran,butiran,bu.tir.an,bu.tir.an
butir,butir,bu.tir,bu.tir
butongpai,butoŋpai,bu.tong.pai,bu.toŋ.pai
butuh,butuh,bu.tuh,bu.tuh
butulan,butulan,bu.tul.an,bu.tul.an
butul,butul,bu.tul,bu.tul
butun,butun,bu.tun,bu.tun
butut,butut,bu.tut,bu.tut
buya,buja,bu.ya,bu.ja
buyar,bujar,bu.yar,bu.jar
buyung,bujuŋ,bu.yung,bu.juŋ
buyungnya,bujuŋɲa,bu.yung.nya,bu.juŋ.ɲa
buyur,bujur,bu.yur,bu.jur
buyut,bujut,bu.yut,bu.jut
cabai,tʃabai,ca.bai,tʃa.bai
cabak,tʃabaʔ,ca.bak,tʃa.baʔ
cabang,tʃabaŋ,ca.bang,tʃa.baŋ
cabaran,tʃabaran,ca.bar.an,tʃa.bar.an
cabar,tʃabar,ca.bar,tʃa.bar
caba,tʃaba,ca.ba,tʃa.ba
cabau,tʃabau,ca.bau,tʃa.bau
cabe,tʃabe,ca.be,tʃa.be
cabikan,tʃabikan,ca.bik.an,tʃa.bik.an
cabik,tʃabiʔ,ca.bik,tʃa.biʔ
cabir,tʃabir,ca.bir,tʃa.bir
cabo,tʃabo,ca.bo,tʃa.bo
cabuh,tʃabuh,ca.buh,tʃa.buh
cabuk,tʃabuʔ,ca.buk,tʃa.buʔ
cabul,tʃabul,ca.bul,tʃa.bul
cabur,tʃabur,ca.bur,tʃa.bur
cabutan,tʃabutan,ca.but.an,tʃa.but.an
cabut,tʃabut,ca.but,tʃa.but
cacahan,tʃatʃahan,ca.cah.an,tʃa.tʃah.an
cacah,tʃatʃah,ca.cah,tʃa.tʃah
cacak,tʃatʃaʔ,ca.cak,tʃa.tʃaʔ
cacap,tʃatʃap,ca.cap,tʃa.tʃap
cacar,tʃatʃar,ca.car,tʃa.tʃar
cacatan,tʃatʃatan,ca.cat.an,tʃa.tʃat.an
caca,tʃatʃa,ca.ca,tʃa.tʃa
cacatnya,tʃatʃatɲa,ca.cat.nya,tʃa.tʃat.ɲa
cacat,tʃatʃat,ca.cat,tʃa.tʃat
cacau,tʃatʃau,ca.cau,tʃa.tʃau
cacian,tʃatʃian,ca.ci.an,tʃa.tʃi.an
cacibar,tʃatʃibar,ca.ci.bar,tʃa.tʃi.bar
cacil,tʃatʃil,ca.cil,tʃa.tʃil
cacingan,tʃatʃiŋan,ca.cing.an,tʃa.tʃiŋ.an
cacing,tʃatʃiŋ,ca.cing,tʃa.tʃiŋ
caci,tʃatʃi,ca.ci,tʃa.tʃi
cadai,tʃadai,ca.dai,tʃa.dai
cadangan,tʃadaŋan,ca.dang.an,tʃa.daŋ.an
cadang,tʃadaŋ,ca.dang,tʃa.daŋ
cadar,tʃadar,ca.dar,tʃa.dar
cadas,tʃadas,ca.das,tʃa.das
cadel,tʃadel,ca.del,tʃa.del
cadik,tʃadiʔ,ca.dik,tʃa.diʔ
cadok,tʃadoʔ,ca.dok,tʃa.doʔ
cad,tʃad,cad,tʃad
caduk,tʃaduʔ,ca.duk,tʃa.duʔ
cadung,tʃaduŋ,ca.dung,tʃa.duŋ
caem,tʃaəm,ca.em,tʃa.əm
cagak,tʃagaʔ,ca.gak,tʃa.gaʔ
cagaran,tʃagaran,ca.gar.an,tʃa.gar.an
cagar,tʃagar,ca.gar,tʃa.gar
cagil,tʃagil,ca.gil,tʃa.gil
caguh,tʃaguh,ca.guh,tʃa.guh
cagun,tʃagun,ca.gun,tʃa.gun
cagu,tʃagu,ca.gu,tʃa.gu
cagut,tʃagut,ca.gut,tʃa.gut
cahang,tʃahaŋ,ca.hang,tʃa.haŋ
cahari,tʃahari,ca.ha.ri,tʃa.ha.ri
cahar,tʃahar,ca.har,tʃa.har
cahayanya,tʃahajaɲa,ca.ha.ya.nya,tʃa.ha.ja.ɲa
cahaya,tʃahaja,ca.ha.ya,tʃa.ha.ja
cah,tʃah,cah,tʃah
cailah,tʃailah,ca.i.lah,tʃa.i.lah
caing,tʃaiŋ,ca.ing,tʃa.iŋ
cair,tʃair,ca.ir,tʃa.ir
caisim,tʃaisim,ca.i.sim,tʃa.i.sim
cais,tʃais,ca.is,tʃa.is
cakah,tʃakah,ca.kah,tʃa.kah
cakak,tʃakaʔ,ca.kak,tʃa.kaʔ
cakalang,tʃakalaŋ,ca.ka.lang,tʃa.ka.laŋ
cakalele,tʃakalele,ca.ka.le.le,tʃa.ka.le.le
cakapan,tʃakapan,ca.kap.an,tʃa.kap.an
cakapkan,tʃakapkan,ca.kap.kan,tʃa.kap.kan
cakap,tʃakap,ca.kap,tʃa.kap
cakar,tʃakar,ca.kar,tʃa.kar
cakatan,tʃakatan,ca.kat.an,tʃa.kat.an
cakawari,tʃakawari,ca.ka.wa.ri,tʃa.ka.wa.ri
cakela,tʃakəla,ca.ke.la,tʃa.kə.la
cakep,tʃakəp,ca.kep,tʃa.kəp
cakera,tʃakəra,ca.ke.ra,tʃa.kə.ra
cakerawala,tʃakərawala,ca.ke.ra.wa.la,tʃa.kə.ra.wa.la
cakiak,tʃakiaʔ,ca.ki.ak,tʃa.ki.aʔ
cakil,tʃakil,ca.kil,tʃa.kil
caki,tʃaki,ca.ki,tʃa.ki
cako,tʃako,ca.ko,tʃa.ko
cakram,tʃaʔram,cak.ram,tʃak.ram
cakra,tʃaʔra,cak.ra,tʃak.ra
cakrawala,tʃaʔrawala,cak.ra.wa.la,tʃak.ra.wa.la
cakrawati,tʃaʔrawati,cak.ra.wa.ti,tʃak.ra.wa.ti
cakruk,tʃaʔruʔ,cak.ruk,tʃak.ruʔ
cak,tʃaʔ,cak,tʃaʔ
cakupan,tʃakupan,ca.kup.an,tʃa.kup.an
cakup,tʃakup,ca.kup,tʃa.kup
cakus,tʃakus,ca.kus,tʃa.kus
calabikang,tʃalabikaŋ,ca.la.bi.kang,tʃa.la.bi.kaŋ
caladi,tʃaladi,ca.la.di,tʃa.la.di
calak,tʃalaʔ,ca.lak,tʃa.laʔ
calang,tʃalaŋ,ca.lang,tʃa.laŋ
calar,tʃalar,ca.lar,tʃa.lar
cala,tʃala,ca.la,tʃa.la
caling,tʃaliŋ,ca.ling,tʃa.liŋ
calir,tʃalir,ca.lir,tʃa.lir
calit,tʃalit,ca.lit,tʃa.lit
calon,tʃalon,ca.lon,tʃa.lon
calo,tʃalo,ca.lo,tʃa.lo
cal,tʃal,cal,tʃal
calui,tʃalui,ca.lu.i,tʃa.lu.i
caluk,tʃaluʔ,ca.luk,tʃa.luʔ
calung,tʃaluŋ,ca.lung,tʃa.luŋ
camar,tʃamar,ca.mar,tʃa.mar
camat,tʃamat,ca.mat,tʃa.mat
camau,tʃamau,ca.mau,tʃa.mau
cambah,tʃambah,cam.bah,tʃam.bah
cambang,tʃambaŋ,cam.bang,tʃam.baŋ
cambukan,tʃambukan,cam.buk.an,tʃam.buk.an
cambuk,tʃambuʔ,cam.buk,tʃam.buʔ
cambul,tʃambul,cam.bul,tʃam.bul
cambung,tʃambuŋ,cam.bung,tʃam.buŋ
camca,tʃamtʃa,cam.ca,tʃam.tʃa
camilan,tʃamilan,ca.mil.an,tʃa.mil.an
camil,tʃamil,ca.mil,tʃa.mil
campah,tʃampah,cam.pah,tʃam.pah
campakkan,tʃampaʔkan,cam.pak.kan,tʃam.paʔ.kan
campak,tʃampaʔ,cam.pak,tʃam.paʔ
campang,tʃampaŋ,cam.pang,tʃam.paŋ
campa,tʃampa,cam.pa,tʃam.pa
camping,tʃampiŋ,cam.ping,tʃam.piŋ
campin,tʃampin,cam.pin,tʃam.pin
camplungan,tʃampluŋan,cam.plung.an,tʃam.pluŋ.an
campuh,tʃampuh,cam.puh,tʃam.puh
campung,tʃampuŋ,cam.pung,tʃam.puŋ
campuran,tʃampuran,cam.pur.an,tʃam.pur.an
campur,tʃampur,cam.pur,tʃam.pur
cam,tʃam,cam,tʃam
camuk,tʃamuʔ,ca.muk,tʃa.muʔ
camur,tʃamur,ca.mur,tʃa.mur
canaian,tʃanaian,ca.nai.an,tʃa.nai.an
canai,tʃanai,ca.nai,tʃa.nai
canak,tʃanaʔ,ca.nak,tʃa.naʔ
canang,tʃanaŋ,ca.nang,tʃa.naŋ
cancang,tʃantʃaŋ,can.cang,tʃan.tʃaŋ
cancut,tʃantʃut,can.cut,tʃan.tʃut
candai,tʃandai,can.dai,tʃan.dai
candak,tʃandaʔ,can.dak,tʃan.daʔ
candala,tʃandala,can.da.la,tʃan.da.la
canda,tʃanda,can.da,tʃan.da
candat,tʃandat,can.dat,tʃan.dat
candik,tʃandiʔ,can.dik,tʃan.diʔ
candi,tʃandi,can.di,tʃan.di
candit,tʃandit,can.dit,tʃan.dit
candramawa,tʃandramawa,can.dra.ma.wa,tʃan.dra.ma.wa
candrasa,tʃandrasa,can.dra.sa,tʃan.dra.sa
candrasengkala,tʃandrasəŋkala,can.dra.seng.ka.la,tʃan.dra.səŋ.ka.la
candra,tʃandra,can.dra,tʃan.dra
candung,tʃanduŋ,can.dung,tʃan.duŋ
candu,tʃandu,can.du,tʃan.du
cangah,tʃaŋah,ca.ngah,tʃa.ŋah
cangak,tʃaŋaʔ,ca.ngak,tʃa.ŋaʔ
cangam,tʃaŋam,ca.ngam,tʃa.ŋam
cangap,tʃaŋap,ca.ngap,tʃa.ŋap
cangcang,tʃaŋtʃaŋ,cang.cang,tʃaŋ.tʃaŋ
canggah,tʃaŋgah,cang.gah,tʃaŋ.gah
canggai,tʃaŋgai,cang.gai,tʃaŋ.gai
canggih,tʃaŋgih,cang.gih,tʃaŋ.gih
canggung,tʃaŋguŋ,cang.gung,tʃaŋ.guŋ
canggu,tʃaŋgu,cang.gu,tʃaŋ.gu
cangip,tʃaŋip,ca.ngip,tʃa.ŋip
cangkang,tʃaŋkaŋ,cang.kang,tʃaŋ.kaŋ
cangkat,tʃaŋkat,cang.kat,tʃaŋ.kat
cangkel,tʃaŋkel,cang.kel,tʃaŋ.kel
cangkih,tʃaŋkih,cang.kih,tʃaŋ.kih
cangkingan,tʃaŋkiŋan,cang.king.an,tʃaŋ.kiŋ.an
cangking,tʃaŋkiŋ,cang.king,tʃaŋ.kiŋ
cangkir,tʃaŋkir,cang.kir,tʃaŋ.kir
cangklong,tʃaŋʔloŋ,cang.klong,tʃaŋ.kloŋ
cangkokan,tʃaŋkokan,cang.kok.an,tʃaŋ.kok.an
cangkok,tʃaŋkoʔ,cang.kok,tʃaŋ.koʔ
cangkrang,tʃaŋʔraŋ,cang.krang,tʃaŋ.kraŋ
cangkriman,tʃaŋʔriman,cang.krim.an,tʃaŋ.krim.an
cangkring,tʃaŋʔriŋ,cang.kring,tʃaŋ.kriŋ
cangkuk,tʃaŋkuʔ,cang.kuk,tʃaŋ.kuʔ
cangkul,tʃaŋkul,cang.kul,tʃaŋ.kul
cangkum,tʃaŋkum,cang.kum,tʃaŋ.kum
cangkung,tʃaŋkuŋ,cang.kung,tʃaŋ.kuŋ
cangkup,tʃaŋkup,cang.kup,tʃaŋ.kup
cang,tʃaŋ,cang,tʃaŋ
canguk,tʃaŋuʔ,ca.nguk,tʃa.ŋuʔ
cangut,tʃaŋut,ca.ngut,tʃa.ŋut
cantas,tʃantas,can.tas,tʃan.tas
cantelan,tʃantelan,can.tel.an,tʃan.tel.an
cantel,tʃantel,can.tel,tʃan.tel
cantengan,tʃantəŋan,can.teng.an,tʃan.təŋ.an
cantik,tʃantiʔ,can.tik,tʃan.tiʔ
canting,tʃantiŋ,can.ting,tʃan.tiŋ
cantolan,tʃantolan,can.tol.an,tʃan.tol.an
cantol,tʃantol,can.tol,tʃan.tol
cantrik,tʃantriʔ,can.trik,tʃan.triʔ
cantumkan,tʃantumkan,can.tum.kan,tʃan.tum.kan
cantum,tʃantum,can.tum,tʃan.tum
caos,tʃaos,ca.os,tʃa.os
capah,tʃapah,ca.pah,tʃa.pah
capaian,tʃapaian,ca.pai.an,tʃa.pai.an
capai,tʃapai,ca.pai,tʃa.pai
capak,tʃapaʔ,ca.pak,tʃa.paʔ
capal,tʃapal,ca.pal,tʃa.pal
capang,tʃapaŋ,ca.pang,tʃa.paŋ
capar,tʃapar,ca.par,tʃa.par
capa,tʃapa,ca.pa,tʃa.pa
capcai,tʃaptʃai,cap.cai,tʃap.tʃai
capek,tʃapeʔ,ca.pek,tʃa.peʔ
capelin,tʃapəlin,ca.pe.lin,tʃa.pə.lin
cape,tʃape,ca.pe,tʃa.pe
capgome,tʃapgome,cap.go.me,tʃap.go.me
capiau,tʃapiau,ca.pi.au,tʃa.pi.au
capik,tʃapiʔ,ca.pik,tʃa.piʔ
capil,tʃapil,ca.pil,tʃa.pil
caping,tʃapiŋ,ca.ping,tʃa.piŋ
capit,tʃapit,ca.pit,tʃa.pit
capjiki,tʃapdʒiki,cap.ji.ki,tʃap.dʒi.ki
caplak,tʃaplaʔ,cap.lak,tʃap.laʔ
caplok,tʃaploʔ,cap.lok,tʃap.loʔ
cap,tʃap,cap,tʃap
capuk,tʃapuʔ,ca.puk,tʃa.puʔ
capung,tʃapuŋ,ca.pung,tʃa.puŋ
carah,tʃarah,ca.rah,tʃa.rah
caraka,tʃaraka,ca.ra.ka,tʃa.ra.ka
carak,tʃaraʔ,ca.rak,tʃa.raʔ
caram,tʃaram,ca.ram,tʃa.ram
carang,tʃaraŋ,ca.rang,tʃa.raŋ
caran,tʃaran,ca.ran,tʃa.ran
caranya,tʃaraɲa,ca.ra.nya,tʃa.ra.ɲa
cara,tʃara,ca.ra,tʃa.ra
carian,tʃarian,ca.ri.an,tʃa.ri.an
carikan,tʃarikan,ca.rik.an,tʃa.rik.an
carik,tʃariʔ,ca.rik,tʃa.riʔ
caring,tʃariŋ,ca.ring,tʃa.riŋ
cari,tʃari,ca.ri,tʃa.ri
carteran,tʃartəran,car.ter.an,tʃar.tər.an
carter,tʃartər,car.ter,tʃar.tər
caruk,tʃaruʔ,ca.ruk,tʃa.ruʔ
carut,tʃarut,ca.rut,tʃa.rut
cas-cis-cus,tʃastʃistʃus,cas-.cis-.cus,tʃas.tʃis.tʃus
cas,tʃas,cas,tʃas
ca,tʃa,ca,tʃa
catatan,tʃatatan,ca.tat.an,tʃa.tat.an
catat,tʃatat,ca.tat,tʃa.tat
catek,tʃateʔ,ca.tek,tʃa.teʔ
cat,tʃat,cat,tʃat
catuan,tʃatuan,ca.tu.an,tʃa.tu.an
catuk,tʃatuʔ,ca.tuk,tʃa.tuʔ
caturan,tʃaturan,ca.tur.an,tʃa.tur.an
catur,tʃatur,ca.tur,tʃa.tur
caturwulan,tʃaturwulan,ca.tur.wu.lan,tʃa.tur.wu.lan
catutan,tʃatutan,ca.tut.an,tʃa.tut.an
catu,tʃatu,ca.tu,tʃa.tu
catut,tʃatut,ca.tut,tʃa.tut
caul,tʃaul,ca.ul,tʃa.ul
caung,tʃauŋ,ca.ung,tʃa.uŋ
cawai,tʃawai,ca.wai,tʃa.wai
cawak,tʃawaʔ,ca.wak,tʃa.waʔ
cawang,tʃawaŋ,ca.wang,tʃa.waŋ
cawan,tʃawan,ca.wan,tʃa.wan
cawat,tʃawat,ca.wat,tʃa.wat
cawis,tʃawis,ca.wis,tʃa.wis
cebakan,tʃəbakan,ce.bak.an,tʃə.bak.an
cebak,tʃəbaʔ,ce.bak,tʃə.baʔ
ceban,tʃəban,ce.ban,tʃə.ban
cebar,tʃəbar,ce.bar,tʃə.bar
cebik,tʃəbiʔ,ce.bik,tʃə.biʔ
cebil,tʃəbil,ce.bil,tʃə.bil
cebir,tʃəbir,ce.bir,tʃə.bir
cebis,tʃəbis,ce.bis,tʃə.bis
cebok,tʃeboʔ,ce.bok,tʃe.boʔ
cebol,tʃebol,ce.bol,tʃe.bol
cebong,tʃeboŋ,ce.bong,tʃe.boŋ
cebur,tʃəbur,ce.bur,tʃə.bur
cecah,tʃətʃah,ce.cah,tʃə.tʃah
cecak,tʃətʃaʔ,ce.cak,tʃə.tʃaʔ
cecap,tʃətʃap,ce.cap,tʃə.tʃap
cecar,tʃətʃar,ce.car,tʃə.tʃar
cecawi,tʃətʃawi,ce.ca.wi,tʃə.tʃa.wi
ceceh,tʃetʃeh,ce.ceh,tʃe.tʃeh
ceceng,tʃətʃeŋ,ce.ceng,tʃə.tʃeŋ
cecere,tʃətʃere,ce.ce.re,tʃə.tʃe.re
cecer,tʃetʃer,ce.cer,tʃe.tʃer
cecer,tʃətʃər,ce.cer,tʃə.tʃər
cece,tʃetʃe,ce.ce,tʃe.tʃe
cecongor,tʃətʃoŋor,ce.co.ngor,tʃə.tʃo.ŋor
cecunguk,tʃətʃuŋuʔ,ce.cu.nguk,tʃə.tʃu.ŋuʔ
cedera,tʃədəra,ce.de.ra,tʃə.də.ra
ceding,tʃədiŋ,ce.ding,tʃə.diŋ
cedok,tʃedoʔ,ce.dok,tʃe.doʔ
ceduk,tʃəduʔ,ce.duk,tʃə.duʔ
cegah,tʃəgah,ce.gah,tʃə.gah
cegak,tʃegaʔ,ce.gak,tʃe.gaʔ
cegak,tʃəgaʔ,ce.gak,tʃə.gaʔ
cegar,tʃəgar,ce.gar,tʃə.gar
cegat,tʃəgat,ce.gat,tʃə.gat
cegukan,tʃəgukan,ce.guk.an,tʃə.guk.an
ceguk,tʃəguʔ,ce.guk,tʃə.guʔ
cekah,tʃəkah,ce.kah,tʃə.kah
cekakak,tʃəkakaʔ,ce.ka.kak,tʃə.ka.kaʔ
cekakan,tʃəkakan,ce.kak.an,tʃə.kak.an
cekak,tʃəkaʔ,ce.kak,tʃə.kaʔ
cekalan,tʃəkalan,ce.kal.an,tʃə.kal.an
cekal,tʃəkal,ce.kal,tʃə.kal
cekaman,tʃəkaman,ce.kam.an,tʃə.kam.an
cekam,tʃəkam,ce.kam,tʃə.kam
cekang,tʃəkaŋ,ce.kang,tʃə.kaŋ
cekap,tʃəkap,ce.kap,tʃə.kap
cekarau,tʃəkarau,ce.ka.rau,tʃə.ka.rau
cekatan,tʃəkatan,ce.kat.an,tʃə.kat.an
cekat,tʃəkat,ce.kat,tʃə.kat
cekau,tʃəkau,ce.kau,tʃə.kau
cekcok,tʃeʔtʃoʔ,cek.cok,tʃeʔ.tʃoʔ
cekdam,tʃeʔdam,cek.dam,tʃeʔ.dam
cek-del,tʃəʔdəl,cek-.del,tʃəʔ.dəl
cekel,tʃekel,ce.kel,tʃe.kel
cekel,tʃəkəl,ce.kel,tʃə.kəl
ceker,tʃeker,ce.ker,tʃe.ker
ceker,tʃekər,ce.ker,tʃe.kər
cekibar,tʃəkibar,ce.ki.bar,tʃə.ki.bar
cekih,tʃəkih,ce.kih,tʃə.kih
cekikan,tʃəkikan,ce.kik.an,tʃə.kik.an
cekikikan,tʃəkikikan,ce.ki.kik.an,tʃə.ki.kik.an
cekikik,tʃəkikiʔ,ce.ki.kik,tʃə.ki.kiʔ
cekik,tʃəkiʔ,ce.kik,tʃə.kiʔ
ceking,tʃekiŋ,ce.king,tʃe.kiŋ
ceking,tʃəkiŋ,ce.king,tʃə.kiŋ
ceki,tʃəki,ce.ki,tʃə.ki
cekit,tʃəkit,ce.kit,tʃə.kit
ceklek,tʃəʔleʔ,cek.lek,tʃək.leʔ
cekluk,tʃəʔluʔ,cek.luk,tʃək.luʔ
cekokan,tʃəkokan,ce.kok.an,tʃə.kok.an
cekok,tʃəkoʔ,ce.kok,tʃə.koʔ
cekrem,tʃəʔrem,cek.rem,tʃək.rem
cekres,tʃəʔres,cek.res,tʃək.res
cek,tʃeʔ,cek,tʃeʔ
cekuh,tʃəkuh,ce.kuh,tʃə.kuh
cekuk,tʃəkuʔ,ce.kuk,tʃə.kuʔ
cekungan,tʃəkuŋan,ce.kung.an,tʃə.kuŋ.an
cekung,tʃəkuŋ,ce.kung,tʃə.kuŋ
cekup,tʃəkup,ce.kup,tʃə.kup
cekur,tʃəkur,ce.kur,tʃə.kur
ceku,tʃəku,ce.ku,tʃə.ku
cekut,tʃəkut,ce.kut,tʃə.kut
celaan,tʃəlaʔan,ce.la.an,tʃə.la.ʔan
celaga,tʃəlaga,ce.la.ga,tʃə.la.ga
celah,tʃəlah,ce.lah,tʃə.lah
celakanya,tʃəlakaɲa,ce.la.ka.nya,tʃə.la.ka.ɲa
celaka,tʃəlaka,ce.la.ka,tʃə.la.ka
celak,tʃelaʔ,ce.lak,tʃe.laʔ
celak,tʃəlaʔ,ce.lak,tʃə.laʔ
celanaku,tʃəlanaku,ce.la.na.ku,tʃə.la.na.ku
celananya,tʃəlanaɲa,ce.la.na.nya,tʃə.la.na.ɲa
celana,tʃəlana,ce.la.na,tʃə.la.na
celaru,tʃəlaru,ce.la.ru,tʃə.la.ru
cela,tʃela,ce.la,tʃe.la
cela,tʃəla,ce.la,tʃə.la
celekeh,tʃəlekeh,ce.le.keh,tʃə.le.keh
celek,tʃeleʔ,ce.lek,tʃe.leʔ
celemek,tʃələmeʔ,ce.le.mek,tʃə.lə.meʔ
celemotan,tʃəlemotan,ce.le.mot.an,tʃə.le.mot.an
celempong,tʃəlempoŋ,ce.lem.pong,tʃə.lem.poŋ
celempung,tʃələmpuŋ,ce.lem.pung,tʃə.ləm.puŋ
celengan,tʃeleŋan,ce.leng.an,tʃe.leŋ.an
celeng,tʃeleŋ,ce.leng,tʃe.leŋ
celentang,tʃələntaŋ,ce.len.tang,tʃə.lən.taŋ
celepa,tʃələpa,ce.le.pa,tʃə.lə.pa
celepik,tʃələpiʔ,ce.le.pik,tʃə.lə.piʔ
celep,tʃələp,ce.lep,tʃə.ləp
celepuk,tʃələpuʔ,ce.le.puk,tʃə.lə.puʔ
celetuk,tʃələtuʔ,ce.le.tuk,tʃə.lə.tuʔ
celih,tʃəlih,ce.lih,tʃə.lih
celik,tʃəliʔ,ce.lik,tʃə.liʔ
celingukan,tʃəliŋukan,ce.li.nguk.an,tʃə.li.ŋuk.an
celinguk,tʃəliŋuʔ,ce.li.nguk,tʃə.li.ŋuʔ
celingus,tʃəliŋus,ce.li.ngus,tʃə.li.ŋus
celis,tʃəlis,ce.lis,tʃə.lis
celi,tʃəli,ce.li,tʃə.li
celomes,tʃəlomes,ce.lo.mes,tʃə.lo.mes
celomok,tʃəlomoʔ,ce.lo.mok,tʃə.lo.moʔ
celopar,tʃəlopar,ce.lo.par,tʃə.lo.par
celoreng,tʃəloreŋ,ce.lo.reng,tʃə.lo.reŋ
celorot,tʃəlorot,ce.lo.rot,tʃə.lo.rot
celoteh,tʃəloteh,ce.lo.teh,tʃə.lo.teh
celuk,tʃəluʔ,ce.luk,tʃə.luʔ
celung,tʃəluŋ,ce.lung,tʃə.luŋ
celupak,tʃəlupaʔ,ce.lu.pak,tʃə.lu.paʔ
celupar,tʃəlupar,ce.lu.par,tʃə.lu.par
celup,tʃəlup,ce.lup,tʃə.lup
celuring,tʃəluriŋ,ce.lu.ring,tʃə.lu.riŋ
celurit,tʃəlurit,ce.lu.rit,tʃə.lu.rit
celur,tʃəlur,ce.lur,tʃə.lur
